Time,nH2_g,nCO2_g,nCH4_g,nH2S_g,H2_aq,CO2_aq,SO4,FeS,X,Acetate,HCO3,S_tot,Lag,Fe_pool,H2S_aq,HS_aq,r_meth,r_sulf,r_precip,r_aceto
3.2745491,8.719773,2.3333234,0.0096472085,0.020853876,0.39793483,13.666095,5.8293556,0.01,2.7789568,4.5212827,0,0.62548969,0.97851611,0.1,0.34654528,0.27894441,0.92310401,1.3017124,0,6.3157122
3.3126253,8.700366,2.3261969,0.010181833,0.021366211,0.37538883,13.618848,5.7919138,0.01,2.9277741,4.7646358,0,0.64142631,0.97968132,0.1,0.35501846,0.28640785,0.94879651,1.329009,0,6.4648057
3.3507014,8.6804942,2.318902,0.010730747,0.021889348,0.35423046,13.570959,5.753499,0.01,3.0799024,5.0134466,0,0.6576318,0.98078574,0.1,0.36362251,0.29400929,0.97314029,1.3536675,0,6.6024027
3.3887776,8.6601927,2.3114514,0.011293181,0.022422226,0.3344586,13.522499,5.7142109,0.01,3.235074,5.2672803,0,0.67407741,0.98183238,0.1,0.3723411,0.30173631,0.99614408,1.3757445,0,6.7286886
3.4268537,8.6394964,2.3038577,0.011868378,0.022963803,0.31604618,13.473535,5.6741466,0.01,3.3930277,5.5257127,0,0.69073604,0.98282407,0.1,0.38115886,0.30957718,1.0178412,1.395334,0,6.844026
3.4649299,8.6184387,2.2961329,0.012455607,0.02351307,0.29894577,13.424125,5.6333987,0.01,3.5535126,5.7883359,0,0.70758234,0.98376355,0.1,0.39006147,0.31752087,1.0382836,1.412557,0,6.948908
3.503006,8.597052,2.2882886,0.013054167,0.024069068,0.28309525,13.37432,5.5920552,0.01,3.7162904,6.0547627,0,0.72459287,0.98465341,0.1,0.39903569,0.32555718,1.0575362,1.4275525,0,7.043916
3.5410822,8.5753667,2.2803357,0.013663401,0.02463089,0.2684228,13.324165,5.5501981,0.01,3.8811375,6.3246291,0,0.74174604,0.98549615,0.1,0.40806937,0.33367667,1.0756719,1.4404693,0,7.1296826
3.5791583,8.5534113,2.2722844,0.014282693,0.025197689,0.25485128,13.273702,5.5079041,0.01,4.0478451,6.5975955,0,0.75902208,0.98629414,0.1,0.41715139,0.34187068,1.0927677,1.4514595,0,7.2068612
3.6172345,8.5312126,2.2641441,0.01491147,0.025768679,0.24230163,13.222965,5.4652436,0.01,4.21622,6.8733474,0,0.77640292,0.98704963,0.1,0.42627164,0.35013128,1.1089011,1.4606739,0,7.2761037
3.6553106,8.5087949,2.2559236,0.015549205,0.026343134,0.23069548,13.171988,5.4222818,0.01,4.386084,7.1515949,0,0.79387211,0.98776478,0.1,0.4354209,0.35845121,1.1241487,1.4682583,0,7.3380438
3.6933868,8.486181,2.247631,0.016195413,0.026920387,0.219957,13.120798,5.379078,0.01,4.5572737,7.4320714,0,0.81141467,0.98844166,0.1,0.44459081,0.36682386,1.1385834,1.4743511,0,7.3932858
3.7314629,8.4633916,2.2392735,0.016849649,0.02749983,0.2100141,13.069421,5.3356867,0.01,4.7296391,7.7145329,0,0.82901697,0.9890822,0.1,0.45377379,0.37524319,1.1522745,1.4790822,0,7.442398
3.7695391,8.4404457,2.2308581,0.017511509,0.028080904,0.20079918,13.017881,5.2921575,0.01,4.9030433,7.9987561,0,0.84666663,0.98968829,0.1,0.46296296,0.38370368,1.1652864,1.4825722,0,7.4859086
3.8076152,8.4173607,2.2223908,0.01818062,0.028663103,0.19224952,12.966199,5.2485355,0.01,5.0773615,8.2845372,0,0.86435237,0.99026169,0.1,0.47215207,0.3922003,1.1776787,1.4849323,0,7.5243054
3.8456914,8.3941524,2.2138773,0.018856645,0.029245965,0.18430734,12.914392,5.2048618,0.01,5.2524796,8.5716901,0,0.88206393,0.9908041,0.1,0.48133546,0.40072847,1.1895061,1.4862644,0,7.5580354
3.8837675,8.3708353,2.2053227,0.019539277,0.029829068,0.17691974,12.86248,5.1611738,0.01,5.4282935,8.8600449,0,0.89979197,0.99131713,0.1,0.49050799,0.40928398,1.2008184,1.4866612,0,7.5875062
